완료,제목,파일명,날짜,시작시간,방송길이,주제,part,상세내용,메모,URL,손님,영도,주식,이미지파일명,카테고리,고유 라이브 ID,금일 방송 횟수,타임라인CSV,소스CSV
False,나벨레이드 매칭->일반->하드 해보기,20250419,20250419,,02:56:56,,,,,https://chzzk.naver.com/video/6862843,,,,,,,,,
False,냅다 캐치마인드하기,20250419,20250419,,03:29:59,,,,,https://chzzk.naver.com/video/6866036,,,,,,,,,
False,무언가 한잔떙기는날이구나.,20250414,20250414,,02:36:08,,,,,https://chzzk.naver.com/video/6778355,,,,,,,,,
False,심야원고,20250413,20250413,,06:15:48,,,,,https://chzzk.naver.com/video/6766274,,,,,,,,,
False,웹툰작가모드,20250412,20250412,,06:29:54,,,,,https://chzzk.naver.com/video/6747736,,,,,,,,,
False,[광고] 8시 하나코나나님과 스타레일그림그리기,20250409,20250409,,03:32:34,,,,,https://chzzk.naver.com/video/6710230,,,,,,,,,
False,집에서 굴러다니는 책 읽기,20250407,20250407,,03:51:52,,,,,https://chzzk.naver.com/video/6666393,,,,,,,,,
False,만화그리면서 노가리,20250405,20250405,,04:47:20,,,,,https://chzzk.naver.com/video/6633770,,,,,,,,,
False,34살 남캠,20250405,20250405,,02:58:24,,,,,https://chzzk.naver.com/video/6648466,,,,,,,,,
False,광고] 왕의 명령으로 던파유저그려주기,20250331,20250331,,04:14:58,,,,,https://chzzk.naver.com/video/6554494,,,,,,,,,
False,토요일그림방,20250330,20250330,,03:57:06,,,,,https://chzzk.naver.com/video/6538232,,,,,,,,,
False,카잔 이어서 하기,20250329,20250329,,04:23:04,,,,,https://chzzk.naver.com/video/6530599,,,,,,,,,
False,네오플개발력 다 빨아간 게임,20250329,20250329,,10:06:54,,,,,https://chzzk.naver.com/video/6522626,,,,,,,,,
False,광고] 명조 신캐 맛보기,20250327,20250327,,03:04:34,,,,,https://chzzk.naver.com/video/6499078,,,,,,,,,
False,던파공식만화그리기,20250326,20250326,,05:48:16,,,,,https://chzzk.naver.com/video/6469284,,,,,,,,,
False,피방 점유율 7퍼게임에 전전전전... 소패왕 결장,20250323,20250323,,05:22:54,,,,,https://chzzk.naver.com/video/6423224,,,,,,,,,
False,그림방송. 하지만 나 이승권. 투표를 받지않겠다,20250323,20250323,,04:47:47,,,,,https://chzzk.naver.com/video/6436213,,,,,,,,,
False,피곤해뒈질거같은 남자,20250321,20250321,,03:09:24,,,,,https://chzzk.naver.com/video/6399080,,,,,,,,,
False,일요일그림방송,20250317,20250317,,04:48:28,,,,,https://chzzk.naver.com/video/6326773,,,,,,,,,
False,오늘 그림 파업,20250316,20250316,,06:06:31,,,,,https://chzzk.naver.com/video/6312409,,,,,,,,,
False,토요일 그림방송,20250315,20250315,,00:23:16,,,,,https://chzzk.naver.com/video/6304277,,,,,,,,,
False,토요일 그림방송,20250315,20250315,,00:34:46,,,,,https://chzzk.naver.com/video/6303679,,,,,,,,,
False,던파공식만화그리기,20250314,20250314,,06:45:52,,,,,https://chzzk.naver.com/video/6279536,,,,,,,,,
False,목요일 목요일은 던파다,20250314,20250314,,04:25:29,,,,,https://chzzk.naver.com/video/6272261,,,,,,,,,
False,만화그리기,20250312,20250312,,00:47:22,,,,,https://chzzk.naver.com/video/6252895,,,,,,,,,
False,일요일 그림방송,20250310,20250310,,04:42:38,,,,,https://chzzk.naver.com/video/6212646,,,,,,,,,
False,토요일그림방송,20250308,20250308,,04:16:15,,,,,https://chzzk.naver.com/video/6193775,,,,,,,,,
False,베누스가실분,20250306,20250306,,04:25:52,,,,,https://chzzk.naver.com/video/6153301,,,,,,,,,
False,졸리다. 하지만 그림그린다,20250302,20250302,,04:56:24,,,,,https://chzzk.naver.com/video/6094855,,,,,,,,,
False,몬헌? 몬헌? 몬헌?,20250301,20250301,,08:38:43,,,,,https://chzzk.naver.com/video/6075981,,,,,,,,,
False,몬헌 개고수 입장,20250228,20250228,,07:09:48,,,,,https://chzzk.naver.com/video/6053869,,,,,,,,,
False,짧방] 야식먹고 자기 [엽떡],20250228,20250228,,00:32:17,,,,,https://chzzk.naver.com/video/6041449,,,,,,,,,
False,미용실에 갔다온 남자,20250227,20250227,,02:42:57,,,,,https://chzzk.naver.com/video/6038386,,,,,,,,,
False,목요일 목요일은 던파다,20250227,20250227,,06:42:45,,,,,https://chzzk.naver.com/video/6033098,,,,,,,,,
